sample_id	tumor_type	cluster
102	Kidney-RCC	C
103	Kidney-RCC	C
104	Kidney-RCC	C
105	Kidney-RCC	C
106	Kidney-RCC	C
107	Kidney-RCC	C
108	Kidney-RCC	C
109	Kidney-RCC	C
110	Kidney-RCC	C
111	Kidney-RCC	C
112	Kidney-RCC	C
113	Kidney-RCC	C
114	Kidney-RCC	C
115	Kidney-RCC	C
116	Kidney-RCC	C
117	Kidney-RCC	J
118	Kidney-RCC	C
119	Kidney-RCC	C
120	Kidney-RCC	C
121	Kidney-RCC	C
122	Kidney-RCC	C
123	Kidney-RCC	C
124	Kidney-RCC	C
125	Kidney-RCC	C
126	Kidney-RCC	C
127	Kidney-RCC	C
128	Kidney-RCC	C
129	Kidney-RCC	C
130	Kidney-RCC	C
131	Kidney-RCC	C
132	Kidney-RCC	C
133	Kidney-RCC	C
134	Kidney-RCC	C
135	Kidney-RCC	C
136	Kidney-RCC	C
137	Kidney-RCC	C
138	Kidney-RCC	C
139	Kidney-RCC	C
140	Kidney-RCC	C
141	Kidney-RCC	C
142	Kidney-RCC	C
143	Kidney-RCC	C
144	Kidney-RCC	C
145	Kidney-RCC	C
146	Kidney-RCC	C
147	Kidney-RCC	C
148	Kidney-RCC	C
149	Kidney-RCC	C
150	Kidney-RCC	C
151	Kidney-RCC	C
152	Kidney-RCC	C
153	Kidney-RCC	C
154	Kidney-RCC	C
155	Kidney-RCC	C
156	Kidney-RCC	C
157	Kidney-RCC	C
158	Kidney-RCC	C
159	Kidney-RCC	C
160	Kidney-RCC	C
161	Kidney-RCC	C
162	Kidney-RCC	C
163	Kidney-RCC	C
164	Kidney-RCC	C
165	Kidney-RCC	C
166	Kidney-RCC	C
167	Kidney-RCC	C
168	Kidney-RCC	C
169	Kidney-RCC	C
170	Kidney-RCC	C
171	Kidney-RCC	C
172	Kidney-RCC	C
173	Kidney-RCC	C
174	Kidney-RCC	C
175	Kidney-RCC	C
176	Skin-Melanoma	G
177	Skin-Melanoma	G
178	Skin-Melanoma	G
179	Skin-Melanoma	G
180	Skin-Melanoma	G
181	Breast-AdenoCA	D
182	Stomach-AdenoCA	N
183	Stomach-AdenoCA	L
184	Stomach-AdenoCA	D
185	Stomach-AdenoCA	M
186	Stomach-AdenoCA	M
187	Stomach-AdenoCA	N
188	Stomach-AdenoCA	L
189	Stomach-AdenoCA	N
190	Stomach-AdenoCA	L
191	Stomach-AdenoCA	M
192	Stomach-AdenoCA	M
193	Breast-AdenoCA	F
194	Stomach-AdenoCA	D
195	Thy-AdenoCA	F
196	Thy-AdenoCA	D
197	Thy-AdenoCA	B
198	Bladder-TCC	D
199	Thy-AdenoCA	D
200	Breast-AdenoCA	K
201	Kidney-RCC	C
202	Kidney-RCC	C
203	Kidney-RCC	C
204	Liver-HCC	B
205	Kidney-RCC	C
206	Kidney-RCC	C
207	Panc-Endocrine	D
208	Liver-HCC	F
209	Panc-Endocrine	K
210	Panc-Endocrine	D
211	Panc-Endocrine	D
212	Liver-HCC	B
213	Panc-Endocrine	C
214	Panc-Endocrine	C
215	Panc-Endocrine	F
216	Panc-Endocrine	K
217	Panc-Endocrine	D
218	Panc-Endocrine	B
219	Prost-AdenoCA	K
224	Prost-AdenoCA	D
