sample_id	tumor_type	num_ssms	num_sims
1824	Liver-HCC	7933	486
1825	Liver-HCC	16451	653
1826	Liver-HCC	9253	625
1827	Liver-HCC	5711	334
1828	Liver-HCC	10864	675
1829	Liver-HCC	6292	378
1830	Liver-HCC	3743	403
1831	Liver-HCC	7384	686
1832	Liver-HCC	3384	182
1833	Liver-HCC	17813	1105
1834	Liver-HCC	12590	837
1835	Liver-HCC	12424	479
1836	Liver-HCC	7787	396
1837	Liver-HCC	7900	803
1838	Liver-HCC	23500	1432
1839	Liver-HCC	15949	758
1840	Liver-HCC	8847	518
1841	Liver-HCC	12788	582
1842	Liver-HCC	18117	987
1843	Liver-HCC	11754	563
1844	Liver-HCC	9351	446
1845	Liver-HCC	28966	1164
1846	Liver-HCC	13709	460
1847	Liver-HCC	11485	598
1848	Liver-HCC	17292	620
1849	Liver-HCC	9579	330
1850	Liver-HCC	14754	860
1851	Liver-HCC	12714	610
1852	Liver-HCC	9778	580
1853	Liver-HCC	19191	1340
1854	Liver-HCC	7591	362
1855	Liver-HCC	10768	458
1856	Liver-HCC	4076	272
1857	Liver-HCC	6553	270
1858	Liver-HCC	2067	30
1859	Liver-HCC	7349	423
1860	Liver-HCC	16269	808
1861	Liver-HCC	12658	702
1862	Liver-HCC	10708	412
1863	Liver-HCC	17663	816
1864	Liver-HCC	19199	984
1865	Liver-HCC	8987	514
1866	Liver-HCC	12421	734
1867	Liver-HCC	18097	736
1868	Liver-HCC	14691	538
1869	Liver-HCC	13558	611
1870	Liver-HCC	14066	619
1871	Liver-HCC	18189	782
1872	Breast-AdenoCA	3629	536
1873	Liver-HCC	18035	724
1874	Liver-HCC	10535	345
1875	Liver-HCC	4234	66
1876	Liver-HCC	11597	513
1877	Liver-HCC	10685	502
1878	Liver-HCC	20707	715
1879	Liver-HCC	8154	529
1880	Lung-AdenoCA	10434	520
1881	Lung-AdenoCA	16308	532
1882	Lung-AdenoCA	13161	599
1883	Lung-AdenoCA	589	13
1884	Lung-AdenoCA	2115	119
1885	Lung-AdenoCA	2336	154
1886	Lung-AdenoCA	6391	403
1887	Breast-AdenoCA	19053	1516
1888	Lung-AdenoCA	5112	342
1889	Lung-AdenoCA	55884	1893
1890	Lung-AdenoCA	14434	442
1891	Lung-AdenoCA	41719	1928
1892	Lung-AdenoCA	4295	230
1893	Lung-AdenoCA	5658	409
1894	Lung-AdenoCA	25038	910
1895	Lung-AdenoCA	27021	936
1896	Lung-AdenoCA	5275	435
1897	Lung-AdenoCA	4036	123
1898	Lung-AdenoCA	34791	1184
1899	Lung-AdenoCA	39966	1614
1900	Breast-AdenoCA	8500	870
1901	Lung-AdenoCA	24247	889
1902	Lung-AdenoCA	43727	1301
1903	Lung-AdenoCA	10145	261
1904	Lung-AdenoCA	63860	2330
1905	Breast-AdenoCA	1241	108
1906	Lung-AdenoCA	190653	5447
1907	Breast-AdenoCA	4255	589
1908	Lung-AdenoCA	115787	3876
1909	Lung-AdenoCA	44564	1514
1910	Breast-AdenoCA	6891	439
1911	Breast-AdenoCA	6304	484
1912	Lung-AdenoCA	48462	1101
1913	Lung-AdenoCA	570	21
1914	Lung-AdenoCA	164754	5828
1915	Lung-AdenoCA	118001	3235
1916	Lung-AdenoCA	1812	68
1917	Lung-AdenoCA	21117	268
1918	Lung-AdenoCA	68492	2180
1919	Breast-AdenoCA	21648	1273
1920	Lung-AdenoCA	7929	425
1921	Lung-AdenoCA	50203	1503
1922	Lung-AdenoCA	33369	598
1923	Lung-AdenoCA	15937	806
1924	Breast-AdenoCA	3207	270
1925	Lung-SCC	31065	1403
1926	Lung-SCC	18429	775
1927	Lung-SCC	46994	1882
1928	Lung-SCC	22409	1111
1929	Lung-SCC	42426	1740
1930	Lung-SCC	45256	1483
1931	Lung-SCC	136115	2834
1932	Lung-SCC	23601	851
1933	Lung-SCC	36480	1218
1934	Lung-SCC	21751	916
