file_name	c_a	c_g	c_t	t_a	t_c	t_g
summary-mt-1110.txt	27920	2952	155362	3713	12342	7183
summary-mt-1111.txt	28184	3045	156283	3612	12301	7100
summary-mt-1112.txt	28142	3032	156035	3795	12507	6978
summary-mt-1113.txt	28140	2906	156446	3745	12230	7035
summary-mt-1114.txt	28111	3012	156826	3814	12379	7161
summary-mt-1115.txt	27833	2899	156023	3762	12474	7170
summary-mt-1116.txt	28179	2976	156828	3745	12491	7167
summary-mt-1117.txt	27932	3004	156000	3786	12319	7139
summary-mt-1118.txt	27605	2987	156071	3802	12508	7175
summary-mt-1119.txt	27913	2950	155887	3633	12310	7182
summary-mt-111.txt	27592	3048	156332	3751	12298	7226
summary-mt-1120.txt	28149	2965	156412	3691	12386	7187
summary-mt-1121.txt	27897	3046	156495	3688	12276	7175
summary-mt-1122.txt	27769	2967	156888	3672	12481	7124
summary-mt-1123.txt	27996	3023	156969	3914	12368	7114
summary-mt-1124.txt	27743	3028	156331	3683	12307	7066
summary-mt-1125.txt	27926	3003	155719	3762	12410	7149
summary-mt-1126.txt	28205	3024	156421	3806	12434	7078
summary-mt-1127.txt	27916	2940	155930	3632	12536	7213
summary-mt-1128.txt	27918	3032	156797	3691	12535	7046
summary-mt-1129.txt	28120	2993	156343	3596	12493	7133
summary-mt-112.txt	27725	3068	156080	3650	12197	6961
summary-mt-1130.txt	27800	2983	155949	3785	12380	7038
summary-mt-1131.txt	28154	2991	155953	3752	12498	7107
summary-mt-1132.txt	28181	2898	156042	3783	12439	7294
summary-mt-1133.txt	28152	2995	156793	3814	12575	7207
summary-mt-1134.txt	27965	2934	155786	3775	12491	7087
summary-mt-1135.txt	28120	2859	156715	3778	12442	7053
summary-mt-1136.txt	28148	2897	156461	3613	12410	7137
summary-mt-1137.txt	27930	3035	155850	3685	12394	7211
summary-mt-1138.txt	28015	3060	156263	3637	12287	7097
summary-mt-1139.txt	28277	3056	156010	3720	12406	7001
summary-mt-113.txt	27967	2947	155792	3687	12596	6998
summary-mt-1140.txt	27845	3069	156079	3685	12513	7264
summary-mt-1141.txt	27853	3035	156066	3667	12185	7174
summary-mt-1142.txt	27966	3030	155815	3718	12400	7121
summary-mt-1143.txt	27935	2978	155934	3832	12585	7015
summary-mt-1144.txt	27970	2960	157029	3683	12514	7016
summary-mt-1145.txt	27670	2943	155765	3740	12387	7241
summary-mt-1146.txt	28108	3014	156466	3759	12397	7132
summary-mt-1147.txt	28047	2978	156318	3779	12535	7136
summary-mt-1148.txt	28133	3000	155606	3657	12286	7255
summary-mt-1149.txt	28105	2956	155719	3644	12367	7141
summary-mt-114.txt	28041	2994	156213	3603	12322	6926
summary-mt-1150.txt	28174	2987	155498	3729	12462	7106
summary-mt-1151.txt	28002	3035	156129	3694	12341	7149
summary-mt-1152.txt	28142	3076	155628	3746	12474	7114
summary-mt-1153.txt	27876	2963	156176	3689	12544	7168
summary-mt-1154.txt	27660	2956	156468	3704	12328	7126
summary-mt-1155.txt	28019	2986	155804	3683	12576	7164
summary-mt-1156.txt	28123	3016	156811	3691	12477	7060
summary-mt-1157.txt	28280	2971	156057	3806	12397	7123
summary-mt-1158.txt	28101	2901	155906	3709	12412	7354
summary-mt-1159.txt	27799	2985	156011	3646	12338	7119
summary-mt-115.txt	27884	2939	156387	3660	12242	7148
summary-mt-1160.txt	27834	2909	156080	3729	12323	7077
summary-mt-1161.txt	27947	2991	155569	3733	12392	7151
summary-mt-1162.txt	27709	3029	156703	3679	12467	7118
summary-mt-1163.txt	27715	2935	157071	3607	12421	7163
summary-mt-1164.txt	27999	3068	156450	3672	12590	7177
summary-mt-1165.txt	27930	2973	156501	3583	12500	7046
summary-mt-1166.txt	27997	2959	156424	3714	12426	7285
summary-mt-1167.txt	28200	2887	155492	3665	12547	7036
summary-mt-1168.txt	28123	2949	156320	3652	12372	7144
summary-mt-1169.txt	28116	2951	155495	3569	12401	7090
summary-mt-116.txt	27963	2979	156307	3779	12461	7215
summary-mt-1170.txt	27928	2903	156515	3708	12404	7076
summary-mt-1171.txt	28056	2930	155884	3642	12461	7082
summary-mt-1172.txt	27971	3019	156530	3677	12635	7122
summary-mt-1173.txt	27903	2975	155973	3695	12410	7085
summary-mt-1174.txt	28106	3018	157095	3563	12363	7140
summary-mt-1175.txt	28132	3008	156389	3652	12299	7156
summary-mt-1176.txt	28274	2993	156183	3725	12380	7295
summary-mt-1177.txt	27880	3024	156169	3742	12318	7051
summary-mt-1178.txt	27819	3085	156839	3651	12224	7160
summary-mt-1179.txt	27891	2937	155807	3913	12338	7225
summary-mt-117.txt	28124	2954	156169	3698	12394	7207
summary-mt-1180.txt	28136	3025	156709	3657	12317	7190
summary-mt-1181.txt	28053	2976	156255	3551	12274	7025
summary-mt-1182.txt	28100	3005	156171	3707	12461	7124
summary-mt-1183.txt	28067	3044	156542	3764	12467	7034
